"","Family","Loc","GID","GM_Trial","BLUE_Yield_corrected","BLUE_Moisture"
"989","20009472-3472667","RIDGWAY_1","GID100020042674",40,3539.98307276573,10.7646235598986
"991","20001789-2984004","RIDGWAY_1","GID100020042744",39,3163.8805608428,10.6374679279348
"994","20009497-2984004","RIDGWAY_1","GID100020042752",39,3001.95525350392,10.4948203821422
"997","20009416-2984004","RIDGWAY_1","GID100020042769",39,3581.48943874955,10.6713255185815
"1002","20009479-10020419721","RIDGWAY_1","GID100020042815",37,2004.47232818786,10.833751798216
"1005","20009472-3472667","RIDGWAY_1","GID100020042883",39,3103.14124172825,10.7827287875769
"1006","20009500-10020419656","RIDGWAY_1","GID100020042886",40,3816.75225269946,11.1788692212697
"1009","20009419-2984004","RIDGWAY_1","GID100020042924",38,3471.28807863418,10.5072835887507
"1013","20009479-3473863","RIDGWAY_1","GID100020042953",39,1951.73961740493,8.94211209474288
"1015","20009419-2984004","RIDGWAY_1","GID100020042963",40,2504.49484963654,11.2260267960856
"1018","20009472-3472667","RIDGWAY_1","GID100020042979",39,3949.17884178787,11.0213835839132
"1020","20009419-2984004","RIDGWAY_1","GID100020042984",38,2253.81832578506,10.7747404425149
"1023","20009472-3472667","RIDGWAY_1","GID100020043003",43,4885.11327182075,12.8765697627027
"1024","20009479-3473863","RIDGWAY_1","GID100020043008",39,3671.3618463531,11.2005800406867
"1026","20009489-2984004","RIDGWAY_1","GID100020043108",38,3691.86679904806,10.3304174021645
"1029","20009489-2984004","RIDGWAY_1","GID100020043133",40,3911.54971057849,11.1797396620833
"1030","20009419-2984004","RIDGWAY_1","GID100020043143",39,3499.63299692777,10.7745298015405
"1035","20009419-2984004","RIDGWAY_1","GID100020043182",40,4244.97306146494,10.8008689171012
"1040","20001789-2984004","RIDGWAY_1","GID100020043246",39,3567.19946417994,10.80132555139
"1041","20009490-2984004","RIDGWAY_1","GID100020043272",43,3956.79059549202,17.4073084608881
"1043","20009419-2984004","RIDGWAY_1","GID100020043274",39,2058.64767491147,9.60070883647434
"1044","20009479-3473863","RIDGWAY_1","GID100020043276",39,3264.93565664699,11.2580924494825
"1045","20009419-2984004","RIDGWAY_1","GID100020043277",37,2958.0020574183,11.8732865091803
"1046","20009472-3472667","RIDGWAY_1","GID100020043279",39,3278.65994792518,10.8686868199926
"1049","20001789-2984004","RIDGWAY_1","GID100020043289",41,3604.92054040555,10.9509950884179
"1050","20009472-3472667","RIDGWAY_1","GID100020043291",41,2687.22783985663,9.74070885855593
"1051","20009489-2984004","RIDGWAY_1","GID100020043475",40,3469.51657275819,9.34104459944261
"1057","20009479-3473863","RIDGWAY_1","GID100020043612",39,3988.09569378066,10.4199684847952
"1059","20009416-2984004","RIDGWAY_1","GID100020043624",38,2158.64767468622,9.31070883647434
"1061","20001789-2984004","RIDGWAY_1","GID100020043635",39,3301.95541935182,10.3548204042238
"1064","20009419-2984004","RIDGWAY_1","GID100020043639",40,3785.16645132195,10.921199239784
"1066","20009472-3472667","RIDGWAY_1","GID100020043643",40,3963.46209743671,10.7371740864686
"1073","20001789-2984004","RIDGWAY_1","GID100020044011",43,4677.29735113354,12.1972909690849
"1075","20009489-2984004","RIDGWAY_1","GID100020044020",40,3874.63041284136,10.4428464573299
"1077","20009419-2984004","RIDGWAY_1","GID100020044038",39,2993.50574973658,11.0780924445375
"1078","20009419-2984004","RIDGWAY_1","GID100020044048",39,2885.24342569935,11.1429727689358
"1079","20009497-2984004","RIDGWAY_1","GID100020044050",38,3095.77946485744,10.73132555139
"1080","20009416-2984004","RIDGWAY_1","GID100020044051",43,2922.67023032255,13.4608932026851
"1082","20009490-2984004","RIDGWAY_1","GID100020044093",39,2761.15776469616,9.00061510019787
"1088","20009497-2984004","RIDGWAY_1","GID100020044150",40,2701.50784053413,9.15070885855593
"1090","20009490-2984004","RIDGWAY_1","GID100020044159",40,3398.53415157588,10.7651561451105
"1092","20009479-3473863","RIDGWAY_1","GID100020044164",42,2599.44635957926,10.8311992447291
"1093","20009472-3472667","RIDGWAY_1","GID100020044192",42,2795.78605895612,10.2988213040145
"1094","20009489-2984004","RIDGWAY_1","GID100020044193",39,3594.92388080632,11.0846908560748
"2483","20009497-2984004","VANDALA_1","GID100020039545",42,3768.88441178603,10.3407018211825
"2488","20001789-2984004","VANDALA_1","GID100020039557",35,3643.24094451458,10.3812207291158
"2490","20009419-2984004","VANDALA_1","GID100020039571",41,4066.86989246169,10.4760284316214
"2495","20009497-2984004","VANDALA_1","GID100020039582",39,3783.42003671317,10.9273952610568
"2498","20009419-2984004","VANDALA_1","GID100020039591",38,4330.29567883487,10.5782620099591
"2500","20009416-2984004","VANDALA_1","GID100020039593",40,3159.76216383176,10.3889793494087
"2501","20009419-2984004","VANDALA_1","GID100020039594",41,3898.51972303629,10.4534182392065
"2504","20001789-2984004","VANDALA_1","GID100020039601",37,3942.94178337274,10.8372335958048
"2506","20009419-2984004","VANDALA_1","GID100020039603",35,4106.39253831728,10.2612867972511
"2507","20009419-2984004","VANDALA_1","GID100020039604",41,4516.31619175347,10.8140378530299
"2508","20009489-2984004","VANDALA_1","GID100020039607",38,3226.21561301304,10.6773392842197
"2509","20009419-10020419656","VANDALA_1","GID100020039608",38,4058.42320380405,10.9100015880508
"2510","20009489-2984004","VANDALA_1","GID100020039609",40,4875.34280876489,10.9533664564882
"2511","20001789-2984004","VANDALA_1","GID100020039610",38,4012.49721417268,10.4587399363563
"2512","20001789-2984004","VANDALA_1","GID100020039611",38,4138.69531271626,10.4346115600379
"2513","20009489-2984004","VANDALA_1","GID100020039612",41,4029.08328751186,10.5792652280195
"2514","20009500-10020419656","VANDALA_1","GID100020039620",38,4204.25650260807,10.4541906359138
"2515","20009500-10020419656","VANDALA_1","GID100020039622",38,4711.60552996792,10.8147088583558
"2516","20009419-2984004","VANDALA_1","GID100020039623",37,3875.14829865898,10.2059623634861
"2519","20009489-2984004","VANDALA_1","GID100020039643",35,3849.77075770005,10.9315870797742
"2521","20001789-2984004","VANDALA_1","GID100020039645",36,3364.09474729395,10.4740910145989
"2525","20009479-10020416300","VANDALA_1","GID100020039658",36,4442.50930572498,10.7663909466533
"2527","20009416-2984004","VANDALA_1","GID100020039667",38,3251.4125527847,10.6824366096427
"2528","20009419-10020419656","VANDALA_1","GID100020039670",41,3845.40248772561,10.8632353153136
"2529","20009419-10020419656","VANDALA_1","GID100020039680",38,3860.09163964761,10.4713520454495
"2531","20009479-10020416300","VANDALA_1","GID100020039689",40,4274.28679835021,10.3876537413828
"2532","20009479-3473863","VANDALA_1","GID100020039694",42,3740.77918866768,10.4736710748908
"2533","20009416-2984004","VANDALA_1","GID100020039695",40,3750.90625136269,10.3977056631778
"2535","20001789-2984004","VANDALA_1","GID100020039703",38,3369.29980805312,10.4907439453898
"2536","20009419-2984004","VANDALA_1","GID100020039707",37,3736.29295110786,10.5175856666677
"2538","20009497-2984004","VANDALA_1","GID100020039709",39,3559.20492802481,10.1692698565974
"2540","20009489-2984004","VANDALA_1","GID100020039711",38,3338.38634498431,10.6436100148636
"2542","20009497-2984004","VANDALA_1","GID100020039715",42,3596.46619584158,10.325804633471
"2543","20001789-2984004","VANDALA_1","GID100020039716",42,4782.84274784282,10.7956752805557
"2544","20009479-3473863","VANDALA_1","GID100020039717",38,4408.72305547309,10.2974064291514
"2546","20009490-2984004","VANDALA_1","GID100020039719",42,4287.06904774637,10.5330467017198
"2549","20009472-10020419721","VANDALA_1","GID100020039726",41,4529.85282688247,10.5681692907313
"2550","20009416-2984004","VANDALA_1","GID100020039727",42,4530.75121477429,11.0086576512536
"2551","20009416-2984004","VANDALA_1","GID100020039728",39,3912.50570352717,10.3296563583188
"2552","20009490-2984004","VANDALA_1","GID100020039730",39,4391.23436849721,10.5643625983751
"2553","20009489-2984004","VANDALA_1","GID100020039731",39,4112.66666169759,10.6032595927336
"2557","20009479-10020416300","VANDALA_1","GID100020039741",35,3704.27408171621,10.7179441205482
"2558","20009419-2984004","VANDALA_1","GID100020039742",35,4136.37246082516,10.6321018724697
