"","Line","Env","y.pheno"
"824","A1319",8,2817.66666666667
"825","A1320",8,2450
"826","A1268",8,3111
"827","M1362",8,2359.66666666667
"828","M1363",8,2840
"829","M1347",8,2420
"830","M1364",8,2538.33333333333
"831","M1365",8,3262.66666666667
"832","M1368",8,2716.33333333333
"833","M1366",8,3286.66666666667
"834","B1216",8,2609.66666666667
"835","B1007",8,3025.66666666667
"836","B1008",8,2788.33333333333
"837","B1009",8,2758
"838","B1158",8,3233.66666666667
"839","B1159",8,2602
"840","B1160",8,2684.66666666667
"841","B1110",8,3024.66666666667
"842","B1111",8,3018.33333333333
"843","B1161",8,2398.33333333333
"844","B1062",8,3092.33333333333
"845","B1010",8,3254.66666666667
"846","B1217",8,3008.66666666667
"847","B1218",8,2972
"848","B1219",8,2707
"849","B1220",8,2843.33333333333
"850","B1058",8,2873
"851","B1060",8,2754
"852","B1061",8,2896.66666666667
"853","B1012",8,2691
"854","B1019",8,3316.66666666667
"855","B1075",8,2545.66666666667
"856","A1259",8,2993
